Karyotype;Vial rep. nr.;Name of tube;TOTAL F;ALIVE F;DEAD F
STD;1;ACS STD_1;15;12;3
STD;2;ACS STD_2;15;11;4
STD;3;ACS STD_3;15;12;3
STD;4;ACS STD_4;15;14;1
STD;5;ACS STD_5;15;9;6
STD;6;ACS STD_6;15;12;3
STD;7;ACS STD_7;15;13;2
STD;8;ACS STD_8;15;11;4
STD;9;ACS STD_9;15;14;1
STD;10;ACS STD_10;15;9;6
STD;11;ACS STD_11;15;13;2
STD;12;ACS STD_12;15;10;5
STD;13;ACS STD_13;15;13;2
STD;14;ACS STD_14;15;13;2
STD;15;ACS STD_15;15;12;3
STD;16;ACS STD_16;14;11;3
STD;17;ACS STD_17;15;14;1
STD;18;ACS STD_18;15;12;3
STD;19;ACS STD_19;15;13;2
STD;20;ACS STD_20;15;12;3
3RP;1;ACS 3RP_1;15;8;7
3RP;2;ACS 3RP_2;15;11;4
3RP;3;ACS 3RP_3;15;14;1
3RP;4;ACS 3RP_4;15;15;0
3RP;5;ACS 3RP_5;13;10;3
3RP;6;ACS 3RP_6;15;13;2
3RP;7;ACS 3RP_7;15;12;3
3RP;8;ACS 3RP_8;15;11;4
3RP;9;ACS 3RP_9;15;12;3
3RP;10;ACS 3RP_10;14;13;1
3RP;11;ACS 3RP_11;15;10;5
3RP;12;ACS 3RP_12;15;10;5
3RP;13;ACS 3RP_13;15;13;2
3RP;14;ACS 3RP_14;15;11;4
3RP;15;ACS 3RP_15;15;10;5
3RP;16;ACS 3RP_16;15;12;3
3RP;17;ACS 3RP_17;15;4;11
3RP;18;ACS 3RP_18;15;9;6
3RP;19;ACS 3RP_19;15;10;5
3RP;20;ACS 3RP_20;15;9;6
2Lt;2;ACS 2Lt_2;15;8;7
2Lt;3;ACS 2Lt_3;15;7;8
2Lt;4;ACS 2Lt_4;15;6;9
2Lt;5;ACS 2Lt_5;15;8;7
2Lt;6;ACS 2Lt_6;15;9;6
2Lt;7;ACS 2Lt_7;15;11;4
2Lt;8;ACS 2Lt_8;15;6;9
2Lt;9;ACS 2Lt_9;15;14;1
2Lt;10;ACS 2Lt_10;15;9;6
2Lt;11;ACS 2Lt_11;15;14;1
2Lt;12;ACS 2Lt_12;15;13;2
2Lt;13;ACS 2Lt_13;15;12;3
2Lt;15;ACS 2Lt_15;15;13;2
2Lt;16;ACS 2Lt_16;15;11;4
2Lt;17;ACS 2Lt_17;15;10;5
2Lt;18;ACS 2Lt_18;15;10;5
2Lt;19;ACS 2Lt_19;15;9;6
2Lt;20;ACS 2Lt_20;15;12;3
3RK;1;ACS 3RK_1;15;13;2
3RK;2;ACS 3RK_2;15;11;4
3RK;3;ACS 3RK_3;15;14;1
3RK;4;ACS 3RK_4;15;13;2
3RK;5;ACS 3RK_5;15;14;1
3RK;6;ACS 3RK_6;15;10;5
3RK;7;ACS 3RK_7;15;10;5
3RK;8;ACS 3RK_8;15;14;1
3RK;9;ACS 3RK_9;15;14;1
3RK;10;ACS 3RK_10;15;11;4
3RK;11;ACS 3RK_11;15;14;1
3RK;12;ACS 3RK_12;14;10;4
3RK;13;ACS 3RK_13;15;14;1
3RK;14;ACS 3RK_14;15;13;2
3RK;15;ACS 3RK_15;15;12;3
3RK;16;ACS 3RK_16;15;12;3
3RK;17;ACS 3RK_17;15;12;3
3RK;18;ACS 3RK_18;15;12;3
3RK;19;ACS 3RK_19;15;14;1
3RK;20;ACS 3RK_20;15;14;1
3RP_HET_1;1;ACS 3RP_HET_1_1;15;11;4
3RP_HET_1;2;ACS 3RP_HET_1_2;15;12;3
3RP_HET_1;3;ACS 3RP_HET_1_3;15;14;1
3RP_HET_1;4;ACS 3RP_HET_1_4;15;14;1
3RP_HET_1;5;ACS 3RP_HET_1_5;15;14;1
3RP_HET_1;6;ACS 3RP_HET_1_6;15;13;2
3RP_HET_1;7;ACS 3RP_HET_1_7;15;11;4
3RP_HET_1;8;ACS 3RP_HET_1_8;14;10;4
3RP_HET_1;9;ACS 3RP_HET_1_9;15;15;0
3RP_HET_1;10;ACS 3RP_HET_1_10;15;13;2
3RP_HET_1;11;ACS 3RP_HET_1_11;15;13;2
3RP_HET_1;12;ACS 3RP_HET_1_12;15;14;1
3RP_HET_1;13;ACS 3RP_HET_1_13;15;15;0
3RP_HET_1;14;ACS 3RP_HET_1_14;15;10;5
3RP_HET_1;15;ACS 3RP_HET_1_15;15;9;6
3RP_HET_1;16;ACS 3RP_HET_1_16;15;13;2
3RP_HET_1;17;ACS 3RP_HET_1_17;14;10;4
3RP_HET_1;18;ACS 3RP_HET_1_18;15;8;7
3RP_HET_1;19;ACS 3RP_HET_1_19;15;12;3
3RP_HET_1;20;ACS 3RP_HET_1_20;15;11;4
2Lt_HET_1;1;ACS 2Lt_HET_1_1;15;13;2
2Lt_HET_1;2;ACS 2Lt_HET_1_2;15;12;3
2Lt_HET_1;3;ACS 2Lt_HET_1_3;15;13;2
2Lt_HET_1;4;ACS 2Lt_HET_1_4;15;11;4
2Lt_HET_1;5;ACS 2Lt_HET_1_5;15;11;4
2Lt_HET_1;6;ACS 2Lt_HET_1_6;15;15;0
2Lt_HET_1;7;ACS 2Lt_HET_1_7;15;14;1
2Lt_HET_1;8;ACS 2Lt_HET_1_8;15;11;4
2Lt_HET_1;9;ACS 2Lt_HET_1_9;15;14;1
2Lt_HET_1;10;ACS 2Lt_HET_1_10;15;15;0
2Lt_HET_1;11;ACS 2Lt_HET_1_11;15;11;4
2Lt_HET_1;12;ACS 2Lt_HET_1_12;15;13;2
2Lt_HET_1;13;ACS 2Lt_HET_1_13;15;11;4
2Lt_HET_1;14;ACS 2Lt_HET_1_14;15;11;4
2Lt_HET_1;15;ACS 2Lt_HET_1_15;15;13;2
2Lt_HET_1;17;ACS 2Lt_HET_1_17;15;10;5
2Lt_HET_1;18;ACS 2Lt_HET_1_18;15;9;6
2Lt_HET_1;19;ACS 2Lt_HET_1_19;15;9;6
2Lt_HET_1;20;ACS 2Lt_HET_1_20;15;8;7
3RK_HET_1;1;ACS 3RK_HET_1_1;15;13;2
3RK_HET_1;2;ACS 3RK_HET_1_2;14;12;2
3RK_HET_1;3;ACS 3RK_HET_1_3;15;14;1
3RK_HET_1;4;ACS 3RK_HET_1_4;15;12;3
3RK_HET_1;5;ACS 3RK_HET_1_5;15;15;0
3RK_HET_1;6;ACS 3RK_HET_1_6;15;13;2
3RK_HET_1;7;ACS 3RK_HET_1_7;15;10;5
3RK_HET_1;8;ACS 3RK_HET_1_8;15;14;1
3RK_HET_1;9;ACS 3RK_HET_1_9;15;13;2
3RK_HET_1;10;ACS 3RK_HET_1_10;15;12;3
3RK_HET_1;11;ACS 3RK_HET_1_11;15;11;4
3RK_HET_1;12;ACS 3RK_HET_1_12;15;13;2
3RK_HET_1;13;ACS 3RK_HET_1_13;15;13;2
3RK_HET_1;14;ACS 3RK_HET_1_14;15;9;6
3RK_HET_1;15;ACS 3RK_HET_1_15;15;11;4
3RK_HET_1;16;ACS 3RK_HET_1_16;15;12;3
3RK_HET_1;17;ACS 3RK_HET_1_17;15;13;2
3RK_HET_1;18;ACS 3RK_HET_1_18;15;14;1
3RK_HET_1;19;ACS 3RK_HET_1_19;15;13;2
3RK_HET_1;20;ACS 3RK_HET_1_20;15;14;1
3RP_HET_2;1;ACS 3RP_HET_2_1;15;12;3
3RP_HET_2;2;ACS 3RP_HET_2_2;15;11;4
3RP_HET_2;3;ACS 3RP_HET_2_3;15;10;5
3RP_HET_2;4;ACS 3RP_HET_2_4;15;14;1
3RP_HET_2;5;ACS 3RP_HET_2_5;14;12;2
3RP_HET_2;6;ACS 3RP_HET_2_6;15;15;0
3RP_HET_2;7;ACS 3RP_HET_2_7;15;11;4
3RP_HET_2;8;ACS 3RP_HET_2_8;15;9;6
3RP_HET_2;9;ACS 3RP_HET_2_9;15;13;2
3RP_HET_2;10;ACS 3RP_HET_2_10;15;13;2
3RP_HET_2;11;ACS 3RP_HET_2_11;15;14;1
3RP_HET_2;12;ACS 3RP_HET_2_12;15;13;2
3RP_HET_2;13;ACS 3RP_HET_2_13;15;12;3
3RP_HET_2;14;ACS 3RP_HET_2_14;15;12;3
3RP_HET_2;15;ACS 3RP_HET_2_15;15;13;2
3RP_HET_2;16;ACS 3RP_HET_2_16;15;12;3
3RP_HET_2;17;ACS 3RP_HET_2_17;15;13;2
3RP_HET_2;18;ACS 3RP_HET_2_18;15;13;2
3RP_HET_2;19;ACS 3RP_HET_2_19;15;13;2
3RP_HET_2;20;ACS 3RP_HET_2_20;15;11;4
2Lt_HET_2;6;ACS 2Lt_HET_2_6;15;11;4
2Lt_HET_2;7;ACS 2Lt_HET_2_7;15;9;6
2Lt_HET_2;8;ACS 2Lt_HET_2_8;15;12;3
2Lt_HET_2;9;ACS 2Lt_HET_2_9;15;13;2
2Lt_HET_2;10;ACS 2Lt_HET_2_10;15;11;4
2Lt_HET_2;11;ACS 2Lt_HET_2_11;15;13;2
2Lt_HET_2;12;ACS 2Lt_HET_2_12;15;14;1
2Lt_HET_2;13;ACS 2Lt_HET_2_13;15;14;1
2Lt_HET_2;14;ACS 2Lt_HET_2_14;15;11;4
2Lt_HET_2;15;ACS 2Lt_HET_2_15;15;12;3
2Lt_HET_2;16;ACS 2Lt_HET_2_16;14;10;4
2Lt_HET_2;17;ACS 2Lt_HET_2_17;15;11;4
2Lt_HET_2;18;ACS 2Lt_HET_2_18;15;7;8
2Lt_HET_2;19;ACS 2Lt_HET_2_19;15;14;1
2Lt_HET_2;20;ACS 2Lt_HET_2_20;15;12;3
3RK_HET_2;1;ACS 3RK_HET_2_1;15;15;0
3RK_HET_2;2;ACS 3RK_HET_2_2;15;14;1
3RK_HET_2;3;ACS 3RK_HET_2_3;15;14;1
3RK_HET_2;4;ACS 3RK_HET_2_4;15;15;0
3RK_HET_2;5;ACS 3RK_HET_2_5;15;13;2
3RK_HET_2;6;ACS 3RK_HET_2_6;15;14;1
3RK_HET_2;7;ACS 3RK_HET_2_7;15;10;5
3RK_HET_2;8;ACS 3RK_HET_2_8;15;15;0
3RK_HET_2;9;ACS 3RK_HET_2_9;15;13;2
3RK_HET_2;10;ACS 3RK_HET_2_10;15;14;1
3RK_HET_2;11;ACS 3RK_HET_2_11;15;13;2
3RK_HET_2;12;ACS 3RK_HET_2_12;15;13;2
3RK_HET_2;13;ACS 3RK_HET_2_13;15;12;3
3RK_HET_2;14;ACS 3RK_HET_2_14;15;13;2
3RK_HET_2;15;ACS 3RK_HET_2_15;15;14;1
3RK_HET_2;16;ACS 3RK_HET_2_16;15;13;2
3RK_HET_2;17;ACS 3RK_HET_2_17;15;14;1
3RK_HET_2;18;ACS 3RK_HET_2_18;15;14;1
3RK_HET_2;19;ACS 3RK_HET_2_19;15;10;5
3RK_HET_2;20;ACS 3RK_HET_2_20;15;13;2
